"DIM_LOAN_ID","GRADE","SUB_GRADE","TERM","LOAN_STATUS","PURPOSE","VERIFICATION_STATUS"
276,"A","A4"," 36 months","Fully Paid","moving","Verified"
277,"A","A4"," 36 months","Fully Paid","other","Not Verified"
278,"A","A5"," 36 months","Charged Off","car","Not Verified"
279,"A","A5"," 36 months","Charged Off","car","Verified"
280,"A","A5"," 36 months","Charged Off","credit card","Not Verified"
281,"A","A5"," 36 months","Charged Off","credit card","Source Verified"
282,"A","A5"," 36 months","Charged Off","credit card","Verified"
283,"A","A5"," 36 months","Charged Off","educational","Verified"
284,"A","A5"," 36 months","Charged Off","home improvement","Not Verified"
285,"A","A5"," 36 months","Charged Off","home improvement","Source Verified"
286,"A","A5"," 36 months","Charged Off","home improvement","Verified"
287,"A","A5"," 36 months","Charged Off","house","Not Verified"
288,"A","A5"," 36 months","Charged Off","major purchase","Not Verified"
289,"A","A5"," 36 months","Charged Off","major purchase","Source Verified"
290,"A","A5"," 36 months","Charged Off","major purchase","Verified"
291,"A","A5"," 36 months","Charged Off","medical","Not Verified"
292,"A","A5"," 36 months","Charged Off","medical","Source Verified"
293,"A","A5"," 36 months","Charged Off","moving","Not Verified"
294,"A","A5"," 36 months","Charged Off","moving","Source Verified"
295,"A","A5"," 36 months","Charged Off","moving","Verified"
296,"A","A5"," 36 months","Charged Off","other","Not Verified"
297,"A","A5"," 36 months","Charged Off","other","Source Verified"
298,"A","A5"," 36 months","Charged Off","other","Verified"
299,"A","A5"," 36 months","Charged Off","small business","Not Verified"
300,"A","A5"," 36 months","Charged Off","small business","Source Verified"
301,"A","A5"," 36 months","Charged Off","small business","Verified"
302,"A","A5"," 36 months","Charged Off","vacation","Not Verified"
303,"A","A5"," 36 months","Charged Off","vacation","Source Verified"
304,"A","A5"," 36 months","Charged Off","vacation","Verified"
305,"A","A5"," 36 months","Fully Paid","Debt consolidation","Not Verified"
306,"A","A4"," 36 months","Fully Paid","small business","Source Verified"
307,"A","A4"," 36 months","Fully Paid","small business","Verified"
308,"A","A4"," 36 months","Fully Paid","vacation","Not Verified"
309,"A","A4"," 36 months","Fully Paid","vacation","Source Verified"
310,"A","A4"," 36 months","Fully Paid","vacation","Verified"
311,"A","A4"," 36 months","Fully Paid","wedding","Not Verified"
312,"A","A4"," 36 months","Fully Paid","wedding","Source Verified"
313,"A","A4"," 36 months","Fully Paid","wedding","Verified"
314,"A","A4"," 60 months","Charged Off","Debt consolidation","Not Verified"
315,"A","A4"," 60 months","Charged Off","Debt consolidation","Source Verified"
316,"A","A4"," 60 months","Charged Off","Debt consolidation","Verified"
317,"A","A4"," 60 months","Charged Off","car","Source Verified"
318,"A","A4"," 60 months","Charged Off","car","Verified"
319,"A","A4"," 60 months","Charged Off","home improvement","Source Verified"
320,"A","A4"," 60 months","Charged Off","moving","Not Verified"
321,"A","A4"," 60 months","Charged Off","other","Verified"
322,"A","A4"," 60 months","Charged Off","renewable_energy","Source Verified"
323,"A","A4"," 60 months","Charged Off","vacation","Source Verified"
324,"A","A4"," 60 months","Current","Debt consolidation","Not Verified"
325,"A","A4"," 60 months","Current","Debt consolidation","Verified"
326,"A","A4"," 60 months","Current","home improvement","Not Verified"
327,"A","A4"," 60 months","Current","home improvement","Source Verified"
328,"A","A4"," 60 months","Current","home improvement","Verified"
329,"A","A4"," 60 months","Current","medical","Not Verified"
330,"A","A4"," 60 months","Current","other","Not Verified"
331,"A","A4"," 60 months","Current","small business","Source Verified"
332,"A","A4"," 60 months","Fully Paid","Debt consolidation","Not Verified"
333,"A","A4"," 60 months","Fully Paid","Debt consolidation","Source Verified"
334,"A","A4"," 60 months","Fully Paid","Debt consolidation","Verified"
335,"A","A4"," 60 months","Fully Paid","car","Not Verified"
336,"A","A4"," 60 months","Fully Paid","car","Source Verified"
337,"A","A4"," 60 months","Fully Paid","car","Verified"
338,"A","A4"," 60 months","Fully Paid","credit card","Not Verified"
339,"A","A4"," 60 months","Fully Paid","credit card","Source Verified"
340,"A","A4"," 60 months","Fully Paid","home improvement","Not Verified"
341,"A","A4"," 60 months","Fully Paid","home improvement","Source Verified"
342,"A","A4"," 60 months","Fully Paid","house","Not Verified"
343,"A","A4"," 60 months","Fully Paid","house","Verified"
344,"A","A4"," 60 months","Fully Paid","major purchase","Not Verified"
345,"A","A4"," 60 months","Fully Paid","major purchase","Source Verified"
346,"A","A4"," 60 months","Fully Paid","medical","Not Verified"
347,"A","A4"," 60 months","Fully Paid","moving","Source Verified"
348,"A","A4"," 60 months","Fully Paid","other","Not Verified"
349,"A","A4"," 60 months","Fully Paid","other","Source Verified"
350,"A","A4"," 60 months","Fully Paid","other","Verified"
351,"A","A4"," 60 months","Fully Paid","small business","Not Verified"
352,"A","A4"," 60 months","Fully Paid","small business","Source Verified"
353,"A","A4"," 60 months","Fully Paid","small business","Verified"
354,"A","A4"," 60 months","Fully Paid","wedding","Source Verified"
355,"A","A4"," 60 months","Fully Paid","wedding","Verified"
356,"A","A5"," 36 months","Charged Off","Debt consolidation","Not Verified"
357,"A","A5"," 36 months","Charged Off","Debt consolidation","Source Verified"
358,"A","A5"," 36 months","Charged Off","Debt consolidation","Verified"
359,"A","A5"," 36 months","Fully Paid","car","Not Verified"
360,"A","A5"," 36 months","Fully Paid","car","Source Verified"
361,"A","A5"," 36 months","Fully Paid","car","Verified"
362,"A","A5"," 36 months","Fully Paid","credit card","Not Verified"
363,"A","A5"," 36 months","Fully Paid","Debt consolidation","Source Verified"
364,"A","A5"," 36 months","Fully Paid","Debt consolidation","Verified"
365,"A","A5"," 36 months","Fully Paid","home improvement","Verified"
366,"A","A5"," 36 months","Fully Paid","house","Not Verified"
367,"A","A5"," 36 months","Fully Paid","house","Source Verified"
368,"A","A5"," 36 months","Fully Paid","house","Verified"
369,"A","A5"," 36 months","Fully Paid","major purchase","Not Verified"
370,"A","A5"," 36 months","Fully Paid","major purchase","Source Verified"
371,"A","A5"," 36 months","Fully Paid","major purchase","Verified"
372,"A","A5"," 36 months","Fully Paid","other","Source Verified"
373,"A","A5"," 36 months","Fully Paid","other","Verified"
374,"A","A5"," 36 months","Fully Paid","medical","Not Verified"
375,"A","A5"," 36 months","Fully Paid","medical","Source Verified"
376,"A","A5"," 36 months","Fully Paid","medical","Verified"
377,"A","A5"," 36 months","Fully Paid","moving","Not Verified"
378,"A","A5"," 36 months","Fully Paid","moving","Source Verified"
379,"A","A5"," 36 months","Fully Paid","moving","Verified"
380,"A","A5"," 36 months","Fully Paid","other","Not Verified"
381,"A","A5"," 36 months","Fully Paid","credit card","Source Verified"
382,"A","A5"," 36 months","Fully Paid","credit card","Verified"
383,"A","A5"," 36 months","Fully Paid","educational","Not Verified"
384,"A","A5"," 36 months","Fully Paid","educational","Source Verified"
385,"A","A5"," 36 months","Fully Paid","educational","Verified"
386,"A","A5"," 36 months","Fully Paid","home improvement","Not Verified"
387,"A","A5"," 36 months","Fully Paid","home improvement","Source Verified"
388,"B","B1"," 36 months","Fully Paid","Debt consolidation","Source Verified"
389,"A","A5"," 36 months","Fully Paid","renewable_energy","Not Verified"
390,"A","A5"," 36 months","Fully Paid","renewable_energy","Source Verified"
391,"A","A5"," 36 months","Fully Paid","small business","Not Verified"
392,"A","A5"," 36 months","Fully Paid","small business","Source Verified"
393,"A","A5"," 36 months","Fully Paid","small business","Verified"
394,"A","A5"," 36 months","Fully Paid","vacation","Not Verified"
395,"A","A5"," 36 months","Fully Paid","vacation","Source Verified"
396,"A","A5"," 36 months","Fully Paid","vacation","Verified"
397,"A","A5"," 36 months","Fully Paid","wedding","Not Verified"
398,"A","A5"," 36 months","Fully Paid","wedding","Source Verified"
399,"A","A5"," 36 months","Fully Paid","wedding","Verified"
400,"A","A5"," 60 months","Charged Off","Debt consolidation","Not Verified"
401,"A","A5"," 60 months","Charged Off","Debt consolidation","Source Verified"
402,"A","A5"," 60 months","Charged Off","Debt consolidation","Verified"
403,"A","A5"," 60 months","Charged Off","car","Not Verified"
404,"A","A5"," 60 months","Charged Off","credit card","Not Verified"
405,"A","A5"," 60 months","Charged Off","credit card","Verified"
406,"A","A5"," 60 months","Charged Off","home improvement","Verified"
407,"A","A5"," 60 months","Charged Off","house","Not Verified"
408,"A","A5"," 60 months","Charged Off","major purchase","Not Verified"
409,"A","A5"," 60 months","Charged Off","major purchase","Source Verified"
410,"A","A5"," 60 months","Charged Off","other","Not Verified"
411,"A","A5"," 60 months","Charged Off","other","Verified"
412,"A","A5"," 60 months","Charged Off","small business","Not Verified"
413,"A","A5"," 60 months","Charged Off","small business","Source Verified"
414,"A","A5"," 60 months","Current","Debt consolidation","Not Verified"
415,"A","A5"," 60 months","Current","Debt consolidation","Source Verified"
416,"A","A5"," 60 months","Current","Debt consolidation","Verified"
417,"A","A5"," 60 months","Current","car","Not Verified"
418,"A","A5"," 60 months","Current","credit card","Not Verified"
419,"A","A5"," 60 months","Current","credit card","Source Verified"
420,"A","A5"," 60 months","Current","credit card","Verified"
421,"A","A5"," 60 months","Current","home improvement","Not Verified"
422,"A","A5"," 60 months","Current","house","Verified"
423,"A","A5"," 60 months","Current","major purchase","Not Verified"
424,"A","A5"," 60 months","Current","major purchase","Source Verified"
425,"A","A5"," 60 months","Current","other","Not Verified"
426,"A","A5"," 60 months","Current","other","Source Verified"
427,"A","A5"," 60 months","Current","other","Verified"
428,"A","A5"," 60 months","Fully Paid","Debt consolidation","Not Verified"
429,"A","A5"," 60 months","Fully Paid","Debt consolidation","Source Verified"
430,"A","A5"," 60 months","Fully Paid","Debt consolidation","Verified"
431,"A","A5"," 60 months","Fully Paid","car","Not Verified"
432,"A","A5"," 60 months","Fully Paid","car","Source Verified"
433,"A","A5"," 60 months","Fully Paid","car","Verified"
434,"A","A5"," 60 months","Fully Paid","credit card","Not Verified"
435,"A","A5"," 60 months","Fully Paid","credit card","Source Verified"
436,"A","A5"," 60 months","Fully Paid","credit card","Verified"
437,"A","A5"," 60 months","Fully Paid","home improvement","Not Verified"
438,"A","A5"," 60 months","Fully Paid","home improvement","Source Verified"
439,"A","A5"," 60 months","Fully Paid","home improvement","Verified"
440,"A","A5"," 60 months","Fully Paid","house","Not Verified"
441,"A","A5"," 60 months","Fully Paid","major purchase","Not Verified"
442,"A","A5"," 60 months","Fully Paid","major purchase","Source Verified"
443,"A","A5"," 60 months","Fully Paid","major purchase","Verified"
444,"A","A5"," 60 months","Fully Paid","medical","Verified"
445,"A","A5"," 60 months","Fully Paid","other","Not Verified"
446,"A","A5"," 60 months","Fully Paid","other","Source Verified"
447,"A","A5"," 60 months","Fully Paid","other","Verified"
448,"A","A5"," 60 months","Fully Paid","renewable_energy","Verified"
449,"A","A5"," 60 months","Fully Paid","small business","Source Verified"
