"BORROWER_ID","EMP_LENGTH","EMP_TITLE","HOME_OWNERSHIP","ANNUAL_INCOME"
624221,"10+ years","walmart","OWN",25000
774040,"3 years","Northwest Community Hospital","OWN",50000
616559,"7 years","Pasco Middle School","OWN",36700
734209,"10+ years","OAI","OWN",90000
843297,"10+ years","Northland Area Federal CU","OWN",23000
630046,"10+ years","nail expo","OWN",25000
931035,"8 years","US Coast Guard","OWN",56400
1282170,"7 years","harts hardware","OWN",26000
1196275,"10+ years","KOAT Channel 7","OWN",34500
554079,"1 year","OPASTCO","OWN",62000
921700,"< 1 year","Lehigh Valley Community Menatl Health","OWN",60000
711671,"10+ years","State of Wisconsin","OWN",52000
1274629,"1 year","Creative Communications","RENT",25000
612784,"10+ years","Ghosh Engineers, Inc.","RENT",39500
522453,"10+ years","care-van  inc.","RENT",26000
792978,"10+ years","Art Institute","RENT",47230
563429,"10+ years","Investors Management and Marketing","RENT",38000
1228477,"10+ years","Ryland & Merchak, P.C.","RENT",62000
1234806,"2 years","Green For All","RENT",50000
752763,"2 years","Empowerment Systems, Inc","RENT",44000
582242,"2 years","TP Mechanical Contractors, Inc.","RENT",37000
986987,"2 years","Vornado Realty Trust","RENT",79000
861853,"3 years","Timber Hill LLC","RENT",89000
806524,"3 years","PaleoSun, Inc.","RENT",47000
1251199,"3 years","Meetup","RENT",80000
625064,"3 years","Sensiba San Filippo, LLP","RENT",60000
1107298,"4 years","Taylor & Francis","RENT",53000
916856,"4 years","Accenture","RENT",78100
1058953,"4 years","C. Steven Horn & Associates, P.C.","RENT",43000
594257,"4 years","Bluffton University","RENT",52728
1215490,"4 years","AlliedBarton","RENT",30720
833566,"5 years","Davis Lock and Safe","RENT",48000
718199,"5 years","Experian","RENT",64778
529085,"7 years","Borders Group","RENT",20000
1285719,"7 years","LIFE CARE CENTER OF AMERICA","RENT",47000
519048,"7 years","State Compensation Insurance Fund","RENT",48000
616541,"8 years","University of Texas at Austin, HRC","RENT",30000
1227338,"9 years","COROVAN Moving & Storage","RENT",66000
828765,"< 1 year","St. Vincents Hospital","RENT",43200
752191,"< 1 year","2wire","RENT",105000
1246042,"1 year","Rehab Alliance","RENT",70560
936586,"1 year","Omnicom Media Group","RENT",30000
1284362,"2 years","Edward Jones","RENT",42000
539528,"4 years","Village Transportation","RENT",46800
1238853,"6 years","Spokane Falls Community College","RENT",25000
1161637,"7 years","united nations","RENT",79000
582057,"< 1 year","United Technologies","RENT",48000
1080061,"10+ years","Aerus Medical Staffing","RENT",35000
1047069,"5 years","Sony Online Entertainment","RENT",85000
765679,"6 years","The State of New Jersey","RENT",43000
634826,"1 year","Tampa General Hospital","RENT",37200
1282640,"10+ years","Ennis Fine Furniture","RENT",60000
1263182,"10+ years","HERMAN HEALTHCARE CENTER","RENT",24000
617226,"10+ years","GIFTS Software","RENT",91000
572200,"2 years","Factset","RENT",57500
937199,"2 years","Mutual of America","RENT",72000
590167,"3 years","Florida Telco Credit Union","RENT",30000
574396,"4 years","ERNST & YOUNG","RENT",62000
994707,"4 years","Unitus CCU","RENT",37157
1286092,"5 years","Evins Communications, LTD","RENT",80000
565466,"6 years","c n j contracting co","RENT",49920
289584,"6 years","Parable Group, Inc.","RENT",72321
348613,"6 years","DTLA Motors Nissan","RENT",30000
799272,"6 years","Maxwell Architects LLC","RENT",50000
695970,"7 years","The Rockefeller University","RENT",68000
597346,"< 1 year","","RENT",150000
822513,"< 1 year","ConocoPhillips","RENT",71004
1261399,"< 1 year","T-Mobile","RENT",60000
375331,"< 1 year","Ann Taylor Factory Store","RENT",10000
728518,"< 1 year","Bread for the City","RENT",42500
613862,"< 1 year","Rapid Systems","RENT",45000
114426,"< 1 year","CNN","RENT",65000
1018561,"6 years","RedVector.com","RENT",25000
748761,"7 years","Potbelly sandwich shop","RENT",50000
352057,"1 year","SRA International, Inc.","RENT",95800
972591,"1 year","Maxim Healthcare Servivces","RENT",38400
1141970,"10+ years","City of Los Angeles","RENT",70000
915594,"2 years","ALOM Technologies, Inc.","RENT",34000
829888,"2 years","MaestroSoft, Inc.","RENT",60400
697429,"2 years","KS Industries, LP","RENT",28800
288096,"2 years","NASSCO","RENT",30000
559339,"5 years","GTRR","RENT",44000
612353,"6 years","Gap Inc.","RENT",23625
347712,"< 1 year","Wyndham Worldwide","RENT",54996
644082,"1 year","ira toyota","RENT",27600
1011036,"1 year","Blue Engine","RENT",25000
1240148,"2 years","","RENT",38400
985657,"5 years","Southern Company","RENT",60000
645241,"6 years","City of Lindsay","RENT",22800
1272202,"9 years","LP&D","RENT",45000
612446,"< 1 year","Chicago Bancorp","RENT",28000
297780,"< 1 year","","RENT",150000
375239,"1 year","Melco Embroidery Systems","RENT",45000
610143,"1 year","United States Dept. of State","RENT",510000
713038,"1 year","George Mason University","RENT",24000
353908,"10+ years","Spectrun GC","RENT",58000
632142,"2 years","Trinity Clinic","RENT",21000
620917,"2 years","SRA International","RENT",71500
625544,"2 years","celluphone","RENT",80000
666932,"5 years","RBC Records","RENT",40800
667490,"6 years","Systems XT, Inc.","RENT",76000
799990,"6 years","Mucasey & Associates, Architects, inc.","RENT",65000
650060,"9 years","Charles River Laboratories","RENT",90000
990465,"< 1 year","Adecco","RENT",86400
598844,"< 1 year","","RENT",108000
1003372,"1 year","bob's discount furniture","RENT",100000
545760,"2 years","Clean Air Concepts Inc","RENT",22880
1284334,"2 years","Papa Johns","RENT",26000
562030,"3 years","Intouch wireless","RENT",58000
598655,"9 years","CHAN Healthcare Auditors","RENT",106000
784486,"4 years","Western Communications, Inc.","RENT",33000
560416,"1 year","IIFData Solutions","RENT",85000
349199,"10+ years","Wise County Public Schools","RENT",38000
583453,"3 years","DeWitt Stern Group, Inc.","RENT",50000
1279426,"6 years","Clyde's of Gallery Place","RENT",48000
1137042,"7 years","FlatRate Movers","RENT",87000
521923,"7 years","Heritage Mint, Ltd.","RENT",56000
537500,"2 years","Oxnard Auto Brokers","RENT",52000
696187,"1 year","UWMF","RENT",52000
1259304,"10+ years","Mills Detective Agency, Inc.","RENT",29000
620043,"10+ years","County Sanitation Districts of L.A. Co.","RENT",83628
952524,"2 years","CoStar Group, Inc.","RENT",41500
745018,"2 years","Roberts Comm Network","RENT",40000
1186488,"2 years","Leviton Manufacturing","RENT",52000
631526,"4 years","Language Connections","RENT",50000
785757,"2 years","Gardner Pie Company","RENT",19680
933708,"9 years","AutoEdge Distribution dba InstallerEdge","RENT",60000
680169,"4 years","Clarks Companies N.A.","RENT",70000
1079495,"1 year","Puget Sound Energy","RENT",74000
1241164,"3 years","U.S. department of Justice","RENT",53000
460471,"5 years","CAREFISRT","RENT",98652
824783,"10+ years","United States Aviation Underwriters","RENT",40000
1209831,"1 year","Mo Trucking","RENT",41600
510789,"10+ years","Santa Monica UCLA Medical Center","MORTGAGE",95000
1078597,"10+ years","polaski dental group","MORTGAGE",69000
1205361,"10+ years","Central Intelligence Agency","MORTGAGE",87048
534629,"10+ years","Self employeed","MORTGAGE",55000
778335,"2 years","Ron Carter Ford","MORTGAGE",132000
997069,"2 years","Univ of Arkansas for Medical Sciences","MORTGAGE",34800
1101007,"3 years","CSI Software","MORTGAGE",68250
701986,"4 years","Sitesafe","MORTGAGE",49000
763713,"4 years","City of Phoenix","MORTGAGE",140000
789121,"5 years","Spectra Logic","MORTGAGE",90000
1081457,"6 years","SC Department of Health and Environmenat","MORTGAGE",37000
1194695,"7 years","California Baptist University","MORTGAGE",115000
1199830,"8 years","Wiggin & Nourie, PA","MORTGAGE",140000
745584,"8 years","Goodyear Tire","MORTGAGE",80000
1077689,"< 1 year","Vology Data Systems","MORTGAGE",160000
751368,"10+ years","State Of Nevada","MORTGAGE",70000
922443,"10+ years","HCA Midwest Health System","MORTGAGE",60000
823403,"10+ years","County of El Paso","MORTGAGE",156000
790803,"3 years","Axsys Technologies, General Dynamics AIS","MORTGAGE",76000
776028,"1 year","American Eagle","MORTGAGE",37200
919322,"10+ years","Home Depot","MORTGAGE",27138
852731,"10+ years","R. Bobrowski Mgmt. Ltd.","MORTGAGE",300000
763716,"2 years","SEIA","MORTGAGE",125000
652218,"2 years","Town of North Andover - Stevens Library","MORTGAGE",43300
519422,"3 years","Tyco - ADT fire and security","MORTGAGE",36000
649156,"1 year","Town of Hampstead","MORTGAGE",130000
727948,"10+ years","HSBC","MORTGAGE",118189
1268187,"10+ years","Rainbow Sign & Banner","MORTGAGE",60000
1173982,"10+ years","weidner architectural signage","MORTGAGE",65000
387102,"5 years","Visa, Inc.","MORTGAGE",165000
579546,"6 years","Buckeye Pipeline Co.","MORTGAGE",83000
390781,"7 years","Compuware Corp.","MORTGAGE",111000
755016,"4 years","Hall Financial Company","MORTGAGE",175000
493458,"10+ years","Harbor City Investments","MORTGAGE",90000
1070116,"4 years","Cupertino Electric, Inc","MORTGAGE",75000
849526,"7 years","Jair Electronics","MORTGAGE",50000
1212771,"4 years","Ozumo","MORTGAGE",51600
323280,"< 1 year","H&S","MORTGAGE",91000
998070,"10+ years","Capital One bank","MORTGAGE",84000
733229,"5 years","Graves Dougherty Hearon and Moody","MORTGAGE",150000
513370,"10+ years","Robert Half International","MORTGAGE",165000
1259961,"3 years","BNSF","MORTGAGE",75000
398767,"1 year","General Dynamics","MORTGAGE",82000
1089350,"10+ years","sb landscaping","MORTGAGE",120000
372290,"4 years","SAIC","MORTGAGE",109000
1054135,"5 years","Sensor Concepts and Applications","MORTGAGE",230000
1242434,"6 years","ACS, a Xerox Company","MORTGAGE",80000
1075301,"7 years","Booz Allen Hamilton","MORTGAGE",126000
1267849,"1 year","Reliant Rehabilitation","MORTGAGE",118560
556575,"1 year","","MORTGAGE",123918
804212,"1 year","University of Missouri Health Center","MORTGAGE",300000
356049,"10+ years","Charles Schwab","MORTGAGE",105000
1080732,"10+ years","MDC","MORTGAGE",97000
830708,"2 years","Camelot Facility Solutions","MORTGAGE",165000
1051247,"10+ years","Bremer Financial Services","MORTGAGE",130000
615249,"2 years","Bank Of America","MORTGAGE",216000
481331,"6 years","Maslow Media","MORTGAGE",119000
1072556,"8 years","Nova Technologies","MORTGAGE",102000
583812,"9 years","CGC Glass Company","MORTGAGE",82640
590522,"10+ years","USDA","OWN",78000
576456,"7 years","ENTERPRISE RENT A CAR","OWN",49000
594313,"10+ years","","OWN",200000
1056195,"5 years","BNY MELLON","OWN",62000
542002,"1 year","self employed","RENT",85000
503349,"10+ years","Naval Air Systems Command","RENT",116000
866221,"2 years","Swaptree","RENT",92000
918699,"3 years","O'Reilly Auto Parts","RENT",22000
1088736,"3 years","United States Patent & Trademark Office","RENT",60682
780485,"4 years","Department of Defense","RENT",50000
565294,"4 years","Orphic Workshop","RENT",30000
1099727,"6 years","Zwicker and Associates P.C.","RENT",80000
908014,"< 1 year","Apex Systems Inc","RENT",60000
641581,"10+ years","T-Mobile","RENT",67000
802957,"3 years","Leapfrog Online Customer Acquisition LLC","RENT",89610
593048,"8 years","The Home Depot Inc.","RENT",35000
351046,"< 1 year","Lending Club","RENT",36450
453753,"1 year","Wells Fargo Bank N.A.","RENT",59300
640880,"1 year","ExxonMobil","RENT",91700
678017,"10+ years","TRADER JOE'S","RENT",70000
860690,"10+ years","","RENT",40000
1199307,"10+ years","neigborhoohealtcare","RENT",47496
567374,"2 years","Morgan Stanley Smith Barney","RENT",80000
783222,"2 years","Dept of VA (NCCPAC","RENT",34900
482078,"2 years","Women's Prison Association","RENT",27000
494096,"3 years","TWM Associates, Inc.","RENT",168600
1065129,"4 years","The JPC Group Inc","RENT",38000
438282,"4 years","Booz Allen Hamilton","RENT",83252
820244,"< 1 year","Liberty mutual","RENT",38400
809964,"< 1 year","Ernst and Young","RENT",145000
1277377,"< 1 year","Beam, Inc.","RENT",60000
1235958,"1 year","E*Trade","RENT",46000
929632,"7 years","Artist","RENT",42000
1236728,"2 years","With A Little Help","RENT",36400
894804,"4 years","AARP","RENT",85000
709158,"10+ years","NASA","RENT",90000
509739,"< 1 year","Bristol Myers Squibb","RENT",44640
1079923,"< 1 year","Falcon Insurance","RENT",42000
1059300,"4 years","New York City Department of Education","RENT",55438
676316,"5 years","us army","RENT",58704
497985,"1 year","Solutions Logistics","RENT",44000
512533,"2 years","Columbia University Medical Center","RENT",90200
1057500,"6 years","NYC Department of Education","RENT",80000
986839,"5 years","Union Health Service","RENT",105000
1252787,"6 years","QPAY INC","RENT",91000
1172160,"4 years","Westside Oral Surgery","RENT",50000
834075,"10+ years","Towers Watson Data Services","RENT",99000
746501,"2 years","Booz Allen Hamilton, Inc","RENT",95800
718785,"5 years","Worktopia","RENT",200000
542527,"10+ years","Monster Cable","RENT",80004
377122,"7 years","Suram Trading Corp","RENT",36000
1022714,"2 years","Accretive Health","RENT",80000
697132,"< 1 year","SOE Software","RENT",31200
928168,"10+ years","American LubeFast","RENT",50800
395698,"2 years","Genesys Telecommunications Laboratories","RENT",135000
634429,"5 years","Hook","RENT",70000
520655,"1 year","Sapient Corporation","RENT",180000
655858,"4 years","chevron","MORTGAGE",105000
702960,"2 years","ADP","MORTGAGE",103000
779261,"< 1 year","US Bank","MORTGAGE",82000
740877,"10+ years","WalMart","RENT",35000
834127,"< 1 year","Chili's","RENT",24000
996093,"4 years","JP Morgan Chase","RENT",81000
779999,"10+ years","Youngewirth & Olenick Associates","MORTGAGE",55000
781547,"10+ years","dunkin brands","MORTGAGE",136000
772341,"4 years","Comprehensive Health SErvices","MORTGAGE",67000
1068497,"10+ years","Oliver Welding & Fabricating","MORTGAGE",80000
1083309,"10+ years","Pericom","MORTGAGE",73000
855410,"5 years","Deltacom/ Earthlink","MORTGAGE",49000
729338,"10+ years","Marathon Equipment","MORTGAGE",70000
719329,"2 years","Western Reserve Eatery","MORTGAGE",60000
815746,"7 years","JEA","MORTGAGE",74800
667176,"10+ years","Amtrak","MORTGAGE",48000
979589,"2 years","Liferay, Inc.","MORTGAGE",48000
698540,"2 years","RISD","MORTGAGE",47000
749732,"2 years","Data Safe","RENT",25000
629117,"1 year","San Francisco Univ High School","RENT",45600
690517,"2 years","Penn State University","RENT",80000
871617,"10+ years","","RENT",40000
1287546,"3 years","The Washington Home & Community Hospices","RENT",51000
1245983,"< 1 year","Morgan Borszcz Consulting","RENT",52000
791349,"3 years","Woodway USA","RENT",38000
716191,"1 year","Texas Health Resources","RENT",37000
775011,"10+ years","The Point at Poipu","RENT",40000
705223,"1 year","Palm Beach School District","RENT",47000
782781,"8 years","ICS","RENT",75000
746648,"3 years","Arizona Investment Council","MORTGAGE",60000
1193841,"10+ years","Abundant Life Outreach Center","MORTGAGE",55000
418469,"1 year","The Bailey Company","MORTGAGE",71000
1194364,"10+ years","Van Air Systems","MORTGAGE",90000
350423,"10+ years","VETERANS ADMINISTRATION","MORTGAGE",40000
857881,"8 years","pete alewine pools inc.","MORTGAGE",50000
667356,"10+ years","Lowes","MORTGAGE",43200
698997,"8 years","Continental Carbonic Products","MORTGAGE",75000
775858,"9 years","Capitol Dental","MORTGAGE",63000
821481,"2 years","AJA Video Systems","MORTGAGE",120000
624083,"3 years","External IT","MORTGAGE",90000
837729,"8 years","provena st joseph hospital","MORTGAGE",78000
628538,"10+ years","Collins Pipe & Supply","MORTGAGE",79000
1006205,"4 years","ADP","MORTGAGE",112500
741218,"5 years","wolf camera and image","OWN",37000
420334,"10+ years","MarketFinders","RENT",85000
966599,"10+ years","Hyde Tools","RENT",28000
848925,"10+ years","nulook decorating,painting","RENT",54000
824319,"5 years","Santa Rosa High School","MORTGAGE",75000
1059862,"2 years","Winkelmann Realty","MORTGAGE",48000
1230573,"1 year","Enterprise Rent-A-Car","RENT",40000
996205,"5 years","SHALIMAR JEWELERS","RENT",42614
1210419,"7 years","foodtown","RENT",44000
899742,"2 years","Missirian Orthopaedic Medical Group","RENT",55000
1287822,"< 1 year","Integrity Funding, LLC","RENT",42000
956024,"4 years","Cablevision","RENT",45000
1281770,"10+ years","Providence Public Schools","MORTGAGE",70000
1262754,"10+ years","Columbia County School Board- Ft. White","MORTGAGE",40000
774842,"10+ years","Pajaro Valley Unified School District","MORTGAGE",60000
813437,"10+ years","Charlotte-Mecklenburg Board of Education","MORTGAGE",50000
1275562,"2 years","Department of the Navy","MORTGAGE",98280
1013380,"3 years","AECOM","MORTGAGE",72000
1244222,"3 years","Design Interiors/Tampa Wholesale Furnitu","MORTGAGE",63200
778173,"5 years","Caterpillar","MORTGAGE",87800
1065506,"6 years","Willis Insurance Services of CA","MORTGAGE",49000
1000633,"< 1 year","Atlantic shores Hospital","MORTGAGE",28800
1044781,"10+ years","Coppell ISD Mockingbird Elementary","MORTGAGE",54000
1209935,"10+ years","Brett Sports","MORTGAGE",85000
1237648,"3 years","Union Bank","MORTGAGE",42000
847135,"3 years","Imaging Business Machines","MORTGAGE",64000
797849,"10+ years","John Brown University","MORTGAGE",95000
818259,"5 years","Scranton Orthopaedics","MORTGAGE",189000
428199,"8 years","Peoples Energy","MORTGAGE",39600
1261743,"10+ years","kroger inc","MORTGAGE",45000
699544,"2 years","Healthland","MORTGAGE",200000
904755,"3 years","Circle four farms","MORTGAGE",32000
1103714,"4 years","The Evergreen Corporation","MORTGAGE",56500
453021,"6 years","Sycuan Casino","MORTGAGE",65000
834243,"6 years","Agape Employment","MORTGAGE",62000
733614,"10+ years","High Point Treatment Center","MORTGAGE",54196
908550,"10+ years","downingtown area school district","MORTGAGE",40800
653237,"10+ years","U.S.Postal Service","MORTGAGE",133119
898992,"10+ years","LDS Church","MORTGAGE",91000
1008684,"4 years","Experian","MORTGAGE",90000
1219146,"3 years","Chicago Public Schools","MORTGAGE",80000
856167,"5 years","shopzilla.com","MORTGAGE",110000
1211769,"10+ years","","MORTGAGE",500000
716009,"2 years","Mainfreight","MORTGAGE",65000
882894,"3 years","Small Law Firm","MORTGAGE",45000
738188,"7 years","Antelope Valley College","MORTGAGE",55000
752506,"10+ years","Half hollow hills school district","MORTGAGE",185000
765740,"10+ years","Department of Veteranss Affairs","MORTGAGE",667680
693185,"10+ years","Gainesville Police Department","MORTGAGE",68000
454241,"2 years","Instrumentation Laboratory","MORTGAGE",99670
1080513,"10+ years","Pricesmart Inc","MORTGAGE",200000
735585,"10+ years","Levi Strauss & Co.","MORTGAGE",180000
1221694,"7 years","Dave Felder & Associates","MORTGAGE",75000
